title,page_title,type_main,type_sub,faction,grade,grade_raw,grade_sort,inner_property,positive_effect_raw,negative_effect_raw,effect_summary_raw,effect_tags,effect_tags_fine,recommend_path_lv1,recommend_path_lv2,recommend_path_lv3,build_bucket_lv1,build_bucket_lv2,build_bucket_source,build_bucket_confidence,requirement_attr_raw,requirement_attainment_raw,performance_note_raw,sources,confidence,notes
伏龙吞火功,功法/伏龙吞火功,内功,,伏龙坛,8,中·八品,2,纯阳,"运用者的「纯阳」内力比例越高，运用者的御体、御气就提高越多
面板+(0.2×内力比例%)加成","运用者的「纯阳」内力比例越高，运用者的破体、破气就提高越多
面板+(0.2×内力比例%)加成",火者，阳之精也。伏龙吞火功乃是伏龙坛代代相传的苦修之法，功成者可吞火入腹，化阳为精，气藏丹田，亢而不毁。,威力|破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"膂力：50
体质：65","内功造诣：150
品鉴造诣：120
厨艺造诣：120",,功法/伏龙吞火功,high,目录外功法
小元山劲,功法/小元山劲,内功,,元山派,8,中·八品,2,归元,"运用者的「归元」内力比例越高，运用者的御体、御气就提高越多
面板+(0.2×内力比例%)加成","运用者的「归元」内力比例越高，运用者的破体、破气就提高越多
面板+(0.2×内力比例%)加成",小元山劲乃是元山弟子训练技击、运力的重要法门，修习时需以气发声，以声助力，虚实结合，刚柔有分。,威力|破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"定力：50
体质：65","内功造诣：150
道法造诣：120
佛学造诣：120",,功法/小元山劲,high,目录外功法
峨眉十二桩,功法/峨眉十二桩,内功,,峨眉派,8,中·八品,2,紫霞,"运用者的「紫霞」内力比例越高，运用者的御体、御气就提高越多
面板+(0.2×内力比例%)加成","运用者的「紫霞」内力比例越高，运用者的破体、破气就提高越多
面板+(0.2×内力比例%)加成",十二桩功动静合一，阴阳相济，集道法、佛学、医术之奥妙于一体。不仅能够调理腑脏，增强内息，更能安定心神，修心养性。,威力|破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"定力：60
悟性：55","内功造诣：150
道法造诣：120
佛学造诣：120",,功法/峨眉十二桩,high,目录外功法
吐姆功,功法/吐姆功,内功,,无量金刚宗,8,中·八品,2,金刚,"运用者的「金刚」内力比例越高，运用者的御体、御气就提高越多
面板+(0.2×内力比例%)加成","运用者的「金刚」内力比例越高，运用者的破体、破气就提高越多
面板+(0.2×内力比例%)加成",吐姆功乃是流传于雪域的入定之法，修习者结跏趺坐，凝神静思，久之，可觉内火自脐轮生发，充盈全身，从而不惧冰雪，不畏严寒。,威力|破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"定力：35
体质：45
根骨：35","内功造诣：150
佛学造诣：150",,功法/吐姆功,high,门派标准化：金刚宗 -> 无量金刚宗；目录外功法
玉骨功,功法/玉骨功,内功,,璇女派,8,中·八品,2,玄阴,"运用者的「玄阴」内力比例越高，运用者的御体、御气就提高越多
面板+(0.2×内力比例%)加成","运用者的「玄阴」内力比例越高，运用者的破体、破气就提高越多
面板+(0.2×内力比例%)加成",欲成仙者，先修根骨。玉骨功以丹田真气为根基，自然虚静，引清去浊，从而洁净经脉，敛气入骨。,威力|破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"根骨：70
悟性：45","内功造诣：150
绘画造诣：120
道法造诣：120",,功法/玉骨功,high,目录外功法
离火真气,功法/离火真气,内功,,伏龙坛,7,上·七品,3,纯阳,"运用者的「纯阳」类功法会对内力属性为「金刚」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层","运用者的「纯阳」类功法会对内力属性为「玄阴」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层",“炎光在离，火为威德”。离火真气以火炼形，烧尽浊秽，光辉熊熊，炎气烈烈，其至者，可令金玉成灰，江水枯涸。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"膂力：85
根骨：45","内功造诣：200
品鉴造诣：160
厨艺造诣：160",,功法/离火真气,high,目录外功法
大元山劲,功法/大元山劲,内功,,元山派,7,上·七品,3,归元,"运用者的「归元」类功法会对内力属性为「玄阴」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层","运用者的「归元」类功法会对内力属性为「紫霞」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层",以力取巧，不过小胜；师法天地，方是大成。大元山劲合于物化，通于天地，功成者可知五行生克之道，明五行“亢乘”、“反侮”之用。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"定力：60
体质：70","内功造诣：200
道法造诣：160
佛学造诣：160",,功法/大元山劲,high,目录外功法
心意气混元功,功法/心意气混元功,内功,,少林派,7,上·七品,3,金刚,"当运用者的内力属性为「金刚」时，降低「紫霞」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层","当运用者的内力属性为「金刚」时，降低「纯阳」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层",“心与意合，意与气合，气与力合”即心意气之混元功。混元功以平和自然之内息化作雄沉中正之外力，运功时虽心神俱寂，周身却隐隐有声。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"定力：70
根骨：30
悟性：30","内功造诣：200
佛学造诣：200",,功法/心意气混元功,high,目录外功法
先天一元气功,功法/先天一元气功,内功,,峨眉派,7,上·七品,3,紫霞,"运用者的「紫霞」类功法会对内力属性为「归元」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层","运用者的「紫霞」类功法会对内力属性为「金刚」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层",先天一元气功正心明智，固本培元，功力用之不竭，生生不灭。乃是吸收天地间的先天一气而化为自身阳元的玄门正法。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"定力：50
根骨：80","内功造诣：200
道法造诣：160
佛学造诣：160",,功法/先天一元气功,high,目录外功法
三密合应法,功法/三密合应法,内功,,无量金刚宗,7,上·七品,3,金刚,"运用者的「金刚」类功法会对内力属性为「紫霞」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层","运用者的「金刚」类功法会对内力属性为「纯阳」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层",三密者：身密、口密、意密。三密合应，谓众生之三密与佛无别。修此法时需身结印契，口诵真言，意观本尊，从而清净三业，得四威仪。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"定力：40
体质：50
根骨：40","内功造诣：200
佛学造诣：200",,功法/三密合应法,high,门派标准化：金刚宗 -> 无量金刚宗；目录外功法
